Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Парк Муравьева-Амурского,123443215789,1,"Ура!В Хабаровск вернулось колесо обзора.Вся наша семья очень любит парк Муравьёва -Амурского и очень обрадовались установке колеса обзора.На ближайших выходных рванули туда.Разочарованию не было предела,с колеса кроме Амура и крыш города,не видно ничего.Конечно Амур прекрасная река и у нас замечательная природа вокруг,но мы то рассчитывали как в старые добрые времена осмотреть Хабаровск с высоты птичьего полёта.Не вышло.Разочарование было таким сильным,что даже другие аттракционы не радовали и мы не сговариваясь дружно пошли на выход.",Опубликовано 10 июля 2015 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Парк Муравьева-Амурского,184ANNASUN,5,"Парк продолжают облагораживать. Сейчас в нем есть: обозрения, зимой каток, летом музыкальный напольный фонтан, большое количество качелей, лавочек, фуд зон, велосипедные дорожки и многое другое!",Опубликовано 25 октября 2017 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Парк Муравьева-Амурского,197206292017,5,"Иногда хочется побродить в полном одиночестве!
Интересный дизайн качелей! Набережная, фонтан, инсталляции! Все располагает к отдыху! Не спешному и приятному время препровождению! Около фонтана играют дети! Много гуляющих, но не мешающих прогулке! Подростки катаются на роликах и скейтбордах! Все размеренно и спокойно! Это бывает редко!",Опубликовано 27 августа 2018 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Парк Муравьева-Амурского,686xox,4,"Хорошее место для прогулки, вдвоем, с семьей, да и просто пройтись вечерком)Прекрасный вид на величественный Амур и Соборную площадь. катание на роликах будет не очень приятным, все уложено брусчаткой.",Опубликовано 29 ноября 2013 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Парк Муравьева-Амурского,776MariNH,5,"Парк привлекателен как место отдыха в любое время года. Летом здесь очень оживленно, разносится дразнящий запах шашлыка, гуляют пары, семьи с детьми, приверженцы здорового образа жизни катаются на роликах, велосипедах, или занимаются спортивным бегом. Зимой парк хорош для неспешных прогулок. В парке несколько памятников, имеющих историческое значение, и несомненным его украшением является величественный памятник генерал-губернатору Восточной Сибири графу Н.Н. Муравьеву-Амурскому. Еще одно знаковое место в парке - Амурский утес, в здании которого размещена музейная экспозиция. Терраса утеса - замечательная смотровая площадка, с неё открываются панорамные виды на Амур и Хабаровск. И конечно же, природный ландшафт, подчеркивающий красоту дальневосточной природы, - главное украшение парка.",Опубликовано 26 мая 2015 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Парк Муравьева-Амурского,926Dmitry,4,Парк меня очень впечатлил. Очень приятное место отдохнуть после трудного рабочего дня. Удивили фигуры из льда. Замечательное место.,Опубликовано 18 февраля 2014 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Парк Муравьева-Амурского,A B,5,"Парку не намного меньше лет,чем самому городу. Он несколько раз перестраивался, менялось назначение отдельных зон. Но в том виде. какой он сейчас, действительно выглядит прекрасно. Парк расположен на крутом берегу Амура, что придаёт ему особую живописность. Прекрасная смотровая площадка на реку при входе в парк, дорожки по изменяющемуся рельефу, лестницы к реке и ""жемчужина"" парка - утёс, который является символом города. Парк прекрасен в любое время года. Летом на открытой эстраде проходят выступления различных творческих коллективов, включая Дальневосточный симфонический оркестр.",Опубликовано 9 июля 2015 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Парк Муравьева-Амурского,ARP1961,4,"Красивый просторный и безалкогольный (?) парк. Лицо Хабаровска, очень милое. Но, сильно контрастирует с самим городом. Одно из немногих must see в Хабаровске..",
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Парк Муравьева-Амурского,AlekseyV,3,"Температура -20, но сильный ветер в феврале и по ощущениям -33. Лестница к коллонаде на реконструкции, колесо оборзения при сильном ветре не работает, лед на катке подойдет не для каждого. Выбирайте время года, если хотите полюбоваться видами на Амур...",Опубликовано 5 февраля 2019 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Парк Муравьева-Амурского,Alex S,5,"Парк расположенный на берегу реки Амур, представляет собой шикарное место для прогулок в летнюю жару или осеннюю слякоть. Весной запах свежих распускающихся листьев и бриз с реки просто опьяняет. Парк имеет большую протяженность и несколько аллей. Местами имеются места общественного питания . На центральном входе в летнее время есть игровая зона для детей",Опубликовано 18 марта 2013 г.
